,Date,Home Team,Away Team,Home 1,Away 1,Home 2,Away 2,Home 3,Away 3,Home 4,Away 4,Home OT,Away OT,Home 2OT,Away 2OT,Home 3OT,Away 3OT,Home T,Away T
144,20210110,San Antonio,Minnesota,22,25,27,19,20,22,19,30,0,0,0,0,0,0,88,96
145,20210110,Denver,New York,28,21,31,17,23,26,32,25,0,0,0,0,0,0,114,89
146,20210111,Philadelphia,Atlanta,32,28,18,37,15,32,29,15,0,0,0,0,0,0,94,112
147,20210111,New York,Charlotte,25,31,25,26,18,25,20,27,0,0,0,0,0,0,88,109
148,20210111,Memphis,Cleveland,24,27,23,19,30,25,24,20,0,0,0,0,0,0,101,91
149,20210111,Milwaukee,Orlando,25,23,38,31,23,28,35,17,0,0,0,0,0,0,121,99
150,20210111,Toronto,Portland,32,21,28,34,26,21,25,36,0,0,0,0,0,0,111,112
151,20210111,Indiana,Sacramento,30,30,34,35,29,32,29,30,0,0,0,0,0,0,122,127
152,20210111,Phoenix,Washington,15,29,27,39,36,36,29,24,0,0,0,0,0,0,107,128
153,20210112,Denver,Brooklyn,35,27,35,27,20,36,26,32,0,0,0,0,0,0,116,122
154,20210112,Utah,Cleveland,22,18,27,18,38,23,30,28,0,0,0,0,0,0,117,87
155,20210112,Indiana,Golden State,19,28,31,29,23,18,31,20,0,0,0,0,0,0,104,95
156,20210112,LA Lakers,Houston,35,14,36,34,26,23,20,29,0,0,0,0,0,0,117,100
157,20210112,San Antonio,Oklahoma City,26,26,25,17,29,30,32,29,0,0,0,0,0,0,112,102
158,20210112,Miami,Philadelphia,25,28,38,27,32,41,25,24,14,17,0,0,0,0,134,137
159,20210113,Dallas,Charlotte,32,16,28,27,27,29,17,21,0,0,0,0,0,0,104,93
160,20210113,Milwaukee,Detroit,27,13,31,34,31,28,21,26,0,0,0,0,0,0,110,101
161,20210113,New Orleans,LA Clippers,28,28,15,33,28,22,35,28,0,0,0,0,0,0,106,111
162,20210113,Memphis,Minnesota,27,29,29,29,24,32,38,17,0,0,0,0,0,0,118,107
163,20210113,Brooklyn,New York,26,25,35,20,31,31,24,33,0,0,0,0,0,0,116,109
164,20210113,LA Lakers,Oklahoma City,30,21,28,25,35,25,35,28,0,0,0,0,0,0,128,99
165,20210113,Portland,Sacramento,33,43,32,25,35,37,32,21,0,0,0,0,0,0,132,126
166,20210114,Golden State,Denver,24,37,30,28,22,25,28,24,0,0,0,0,0,0,104,114
167,20210114,Miami,Philadelphia,30,38,28,35,20,25,30,27,0,0,0,0,0,0,108,125
168,20210114,Indiana,Portland,26,26,33,10,25,35,27,16,0,0,0,0,0,0,111,87
169,20210114,Houston,San Antonio,30,27,18,18,27,34,34,26,0,0,0,0,0,0,109,105
170,20210114,Charlotte,Toronto,34,35,28,36,24,28,22,12,0,0,0,0,0,0,108,111
171,20210115,Orlando,Boston,28,34,20,26,24,28,25,36,0,0,0,0,0,0,97,124
172,20210115,New York,Cleveland,25,28,30,29,25,23,23,26,0,0,0,0,0,0,103,106
173,20210115,New Orleans,LA Lakers,28,20,30,37,16,27,21,28,0,0,0,0,0,0,95,112
174,20210115,Dallas,Milwaukee,23,30,24,25,34,29,28,28,0,0,0,0,0,0,109,112
175,20210115,Chicago,Oklahoma City,30,22,38,28,27,37,23,31,7,9,0,0,0,0,125,127
176,20210115,LA Clippers,Sacramento,34,31,35,30,37,16,32,23,0,0,0,0,0,0,138,100
177,20210115,Atlanta,Utah,23,33,23,28,28,26,18,29,0,0,0,0,0,0,92,116
178,20210116,Orlando,Brooklyn,26,29,24,23,33,32,32,38,0,0,0,0,0,0,115,122
179,20210116,Philadelphia,Memphis,26,25,28,35,22,28,28,18,0,0,0,0,0,0,104,106
180,20210116,Detroit,Miami,29,23,23,33,38,19,30,25,0,0,0,0,0,0,120,100
181,20210116,Atlanta,Portland,38,34,28,25,20,27,20,26,0,0,0,0,0,0,106,112
182,20210116,Houston,San Antonio,30,21,23,29,19,25,19,28,0,0,0,0,0,0,91,103
183,20210116,Charlotte,Toronto,27,31,37,35,23,22,26,28,0,0,0,0,0,0,113,116
184,20210117,New York,Boston,28,17,20,18,27,15,30,25,0,0,0,0,0,0,105,75
185,20210117,Chicago,Dallas,27,23,40,29,22,23,28,26,0,0,0,0,0,0,117,101
186,20210117,Utah,Denver,32,31,21,27,28,21,28,26,0,0,0,0,0,0,109,105
187,20210117,Indiana,LA Clippers,26,36,29,25,20,39,21,29,0,0,0,0,0,0,96,129
188,20210117,New Orleans,Sacramento,34,25,33,33,30,36,31,29,0,0,0,0,0,0,128,123
189,20210118,Minnesota,Atlanta,25,29,26,29,20,20,26,30,0,0,0,0,0,0,97,108
190,20210118,Milwaukee,Brooklyn,34,28,22,29,33,37,34,31,0,0,0,0,0,0,123,125
191,20210118,Houston,Chicago,16,28,36,36,34,29,34,32,0,0,0,0,0,0,120,125
192,20210118,Golden State,LA Lakers,22,34,26,30,33,28,34,21,0,0,0,0,0,0,115,113
193,20210118,Phoenix,Memphis,24,18,24,34,27,25,29,31,0,0,0,0,0,0,104,108
194,20210118,Detroit,Miami,36,24,25,31,19,33,27,25,0,0,0,0,0,0,107,113
195,20210118,Orlando,New York,13,19,25,28,16,19,30,25,0,0,0,0,0,0,84,91
196,20210118,San Antonio,Portland,32,28,27,26,28,28,38,22,0,0,0,0,0,0,125,104
197,20210118,Dallas,Toronto,18,22,29,25,25,34,21,35,0,0,0,0,0,0,93,116
198,20210119,Oklahoma City,Denver,31,31,21,34,22,32,27,22,0,0,0,0,0,0,101,119
199,20210119,New Orleans,Utah,24,29,25,26,20,36,33,27,0,0,0,0,0,0,102,118
200,20210120,Detroit,Atlanta,31,29,21,16,40,33,14,28,9,17,0,0,0,0,115,123
201,20210120,Brooklyn,Cleveland,23,28,26,23,29,36,35,26,14,14,8,20,0,0,135,147
202,20210120,San Antonio,Golden State,24,36,21,28,26,26,28,31,0,0,0,0,0,0,99,121
203,20210120,Phoenix,Houston,30,23,33,28,26,31,20,21,0,0,0,0,0,0,109,103
204,20210120,Dallas,Indiana,37,28,28,35,28,29,31,20,0,0,0,0,0,0,124,112
205,20210120,Sacramento,LA Clippers,29,25,27,36,19,34,21,20,0,0,0,0,0,0,96,115
206,20210120,Orlando,Minnesota,25,21,10,30,33,26,29,19,0,0,0,0,0,0,97,96
207,20210120,Boston,Philadelphia,25,32,36,26,31,28,17,31,0,0,0,0,0,0,109,117
208,20210120,Miami,Toronto,29,23,27,35,32,25,23,19,0,0,0,0,0,0,111,102
209,20210121,New York,Golden State,40,31,23,26,26,19,30,28,0,0,0,0,0,0,119,104
210,20210121,LA Lakers,Milwaukee,29,33,34,24,23,24,27,25,0,0,0,0,0,0,113,106
211,20210121,New Orleans,Utah,43,31,26,39,23,30,26,29,0,0,0,0,0,0,118,129
212,20210122,Chicago,Charlotte,30,29,31,24,34,30,28,27,0,0,0,0,0,0,123,110
213,20210122,Brooklyn,Cleveland,33,34,27,27,24,37,29,27,0,0,0,0,0,0,113,125
214,20210122,Houston,Detroit,34,21,21,26,22,34,26,21,0,0,0,0,0,0,103,102
215,20210122,Orlando,Indiana,28,37,32,25,27,26,21,20,10,12,0,0,0,0,118,120
216,20210122,Oklahoma City,LA Clippers,18,36,35,34,25,21,28,29,0,0,0,0,0,0,106,120
217,20210122,Atlanta,Minnesota,25,19,37,24,30,24,24,31,0,0,0,0,0,0,116,98
218,20210122,Boston,Philadelphia,33,25,19,24,28,42,30,31,0,0,0,0,0,0,110,122
219,20210122,Denver,Phoenix,25,34,29,34,37,27,23,19,16,12,0,0,0,0,130,126
220,20210122,New York,Sacramento,26,25,28,24,18,27,22,27,0,0,0,0,0,0,94,103
221,20210122,Dallas,San Antonio,37,34,31,24,27,27,27,32,0,0,0,0,0,0,122,117
222,20210122,Miami,Toronto,20,37,22,19,22,17,17,28,0,0,0,0,0,0,81,101
223,20210123,Miami,Brooklyn,25,36,31,30,26,30,42,32,0,0,0,0,0,0,124,128
224,20210123,LA Lakers,Chicago,29,17,34,16,20,33,18,24,0,0,0,0,0,0,101,90
225,20210123,Houston,Dallas,38,27,32,32,34,24,29,25,0,0,0,0,0,0,133,108
226,20210123,Philadelphia,Detroit,28,31,33,32,33,25,20,22,0,0,0,0,0,0,114,110
227,20210123,New Orleans,Minnesota,31,28,33,35,14,24,32,33,0,0,0,0,0,0,110,120
228,20210123,Denver,Phoenix,28,30,30,31,15,16,25,21,8,8,14,6,0,0,120,112
229,20210123,Golden State,Utah,30,39,17,38,25,31,36,19,0,0,0,0,0,0,108,127
230,20210124,Cleveland,Boston,21,38,30,35,27,41,25,27,0,0,0,0,0,0,103,141
231,20210124,Toronto,Indiana,24,24,34,23,19,28,30,27,0,0,0,0,0,0,107,102
232,20210124,Oklahoma City,LA Clippers,19,36,26,20,28,29,27,23,0,0,0,0,0,0,100,108
233,20210124,Atlanta,Milwaukee,15,32,32,34,36,28,32,35,0,0,0,0,0,0,115,129
234,20210124,Charlotte,Orlando,24,29,26,29,24,28,33,18,0,0,0,0,0,0,107,104
235,20210124,New York,Portland,24,37,26,33,27,19,36,27,0,0,0,0,0,0,113,116
236,20210124,Washington,San Antonio,26,23,21,25,30,37,24,36,0,0,0,0,0,0,101,121
237,20210125,Miami,Brooklyn,21,15,24,26,26,29,14,28,0,0,0,0,0,0,85,98
238,20210125,Boston,Chicago,33,25,27,25,31,26,28,27,0,0,0,0,0,0,119,103
239,20210125,LA Lakers,Cleveland,34,23,31,35,22,31,28,19,0,0,0,0,0,0,115,108
240,20210125,Denver,Dallas,38,31,32,27,22,36,25,19,0,0,0,0,0,0,117,113
241,20210125,Philadelphia,Detroit,23,34,27,30,25,25,29,30,0,0,0,0,0,0,104,119
242,20210125,Minnesota,Golden State,23,34,31,34,29,25,25,37,0,0,0,0,0,0,108,130
243,20210125,Toronto,Indiana,30,33,30,37,37,28,17,31,0,0,0,0,0,0,114,129
244,20210125,Charlotte,Orlando,30,19,24,36,22,32,32,30,0,0,0,0,0,0,108,117
245,20210125,Oklahoma City,Portland,34,24,35,36,25,31,31,31,0,0,0,0,0,0,125,122
246,20210126,LA Clippers,Atlanta,21,22,27,21,22,33,29,32,0,0,0,0,0,0,99,108
247,20210126,Washington,Houston,29,26,23,30,18,19,18,32,0,0,0,0,0,0,88,107
248,20210126,New York,Utah,27,18,32,28,22,34,13,28,0,0,0,0,0,0,94,108
249,20210127,Brooklyn,Atlanta,26,27,29,28,28,32,33,29,16,12,0,0,0,0,132,128
250,20210127,Indiana,Charlotte,36,19,23,36,25,25,32,26,0,0,0,0,0,0,116,106
251,20210127,Detroit,Cleveland,28,32,28,22,26,36,25,32,0,0,0,0,0,0,107,122
252,20210127,Minnesota,Golden State,21,23,30,35,24,37,36,28,0,0,0,0,0,0,111,123
253,20210127,Denver,Miami,26,12,32,21,16,32,35,17,0,0,0,0,0,0,109,82
254,20210127,Washington,New Orleans,18,35,27,29,35,30,26,30,0,0,0,0,0,0,106,124
255,20210127,Sacramento,Orlando,32,23,33,27,31,27,25,30,0,0,0,0,0,0,121,107
256,20210127,LA Lakers,Philadelphia,24,34,27,21,23,26,32,26,0,0,0,0,0,0,106,107
257,20210127,Oklahoma City,Phoenix,17,32,28,10,28,29,29,26,0,0,0,0,0,0,102,97
258,20210127,Boston,San Antonio,30,25,17,36,37,21,22,28,0,0,0,0,0,0,106,110
259,20210127,Milwaukee,Toronto,33,33,30,21,20,28,32,26,0,0,0,0,0,0,115,108
260,20210127,Dallas,Utah,19,32,29,37,30,31,26,16,0,0,0,0,0,0,104,116
261,20210128,LA Lakers,Detroit,31,34,27,22,20,26,14,25,0,0,0,0,0,0,92,107
262,20210128,Portland,Houston,32,17,18,36,27,33,24,18,0,0,0,0,0,0,101,104
263,20210128,LA Clippers,Miami,19,33,29,17,40,19,21,36,0,0,0,0,0,0,109,105
264,20210128,Golden State,Phoenix,29,36,18,16,24,33,22,29,0,0,0,0,0,0,93,114
265,20210129,Indiana,Charlotte,28,32,32,32,20,25,25,19,0,0,0,0,0,0,105,108
266,20210129,Philadelphia,Minnesota,25,25,28,23,35,26,30,20,0,0,0,0,0,0,118,94
267,20210129,Milwaukee,New Orleans,21,35,24,33,44,35,37,28,0,0,0,0,0,0,126,131
268,20210129,Cleveland,New York,17,19,16,28,22,25,26,30,0,0,0,0,0,0,81,102
269,20210129,Brooklyn,Oklahoma City,36,27,40,32,39,35,32,31,0,0,0,0,0,0,147,125
270,20210129,LA Clippers,Orlando,26,26,36,22,28,23,26,19,0,0,0,0,0,0,116,90
271,20210129,Denver,San Antonio,30,37,25,24,31,26,23,32,0,0,0,0,0,0,109,119
272,20210129,Sacramento,Toronto,36,24,32,34,36,33,22,33,0,0,0,0,0,0,126,124
273,20210129,Dallas,Utah,12,37,33,24,23,33,33,26,0,0,0,0,0,0,101,120
274,20210129,Atlanta,Washington,31,22,30,28,28,21,27,29,0,0,0,0,0,0,116,100
275,20210130,LA Lakers,Boston,28,24,24,25,19,29,25,17,0,0,0,0,0,0,96,95
