,Date,Team,1,2,3,4,T
620,20210203,Phoenix,25,21,28,27,101
621,20210203,New Orleans,28,20,40,35,123
622,20210203,Houston,25,18,15,29,87
623,20210203,Oklahoma City,30,24,27,23,104
624,20210203,Boston,26,25,31,29,111
625,20210203,Sacramento,22,30,29,35,116
626,20210203,Minnesota,33,32,25,18,108
627,20210203,San Antonio,29,25,25,32,111
628,20210204,Utah,20,25,35,32,112
629,20210204,Atlanta,16,21,26,28,91
630,20210204,Golden State,36,38,36,37,147
631,20210204,Dallas,34,42,20,20,116
632,20210204,Denver,30,28,17,18,93
633,20210204,LA Lakers,27,19,37,31,114
634,20210204,Houston,27,33,27,28,115
635,20210204,Memphis,27,20,23,33,103
636,20210204,Portland,28,29,40,24,121
637,20210204,Philadelphia,28,29,19,29,105
638,20210205,Toronto,34,33,25,31,123
639,20210205,Brooklyn,23,40,27,27,117
640,20210205,Utah,30,39,37,32,138
641,20210205,Charlotte,32,22,36,31,121
642,20210205,Milwaukee,26,34,34,29,123
643,20210205,Cleveland,33,30,26,16,105
644,20210205,New Orleans,27,30,29,28,114
645,20210205,Indiana,30,18,27,38,113
646,20210205,Boston,21,30,38,30,119
647,20210205,LA Clippers,33,29,20,33,115
648,20210205,Washington,27,16,27,25,95
