,Player,Prop,Over,Over Odds,Under,Under Odds
306,Deandre Ayton,Points,14.5,-118,14.5,-104
307,Devin Booker,Points,26.5,-120,26.5,-102
308,Jae Crowder,Points,9.5,-112,9.5,-108
309,Mikal Bridges,Points,10.5,-112,10.5,-108
310,Ivica Zubac,Rebounds,7.5,-140,7.5,114
311,Marcus Morris,Rebounds,4.5,116,4.5,-142
312,Kawhi Leonard,Rebounds,6.5,-130,6.5,106
313,Paul George,Rebounds,5.5,-144,5.5,116
314,Mikal Bridges,Rebounds,3.5,-148,3.5,120
315,Chris Paul,Rebounds,4.5,104,4.5,-128
316,Devin Booker,Rebounds,3.5,-134,3.5,110
317,Jae Crowder,Rebounds,4.5,-104,4.5,-118
318,Deandre Ayton,Rebounds,9.5,-118,9.5,-104
319,Paul George,Assists,4.5,-132,4.5,108
320,Kawhi Leonard,Assists,4.5,-105,4.5,-115
321,Devin Booker,Assists,4.5,-106,4.5,-114
322,Chris Paul,Assists,8.5,106,8.5,-130
323,Kawhi Leonard,Made Threes,1.5,-132,1.5,104
324,Marcus Morris,Made Threes,1.5,-186,1.5,144
325,Paul George,Made Threes,2.5,-111,2.5,-115
326,Mikal Bridges,Made Threes,1.5,110,1.5,-140
327,Chris Paul,Made Threes,1.5,130,1.5,-166
328,Jae Crowder,Made Threes,1.5,-210,1.5,162
329,Devin Booker,Made Threes,1.5,-180,1.5,140
330,Kawhi Leonard,Reb + Ast,11.5,-113,11.5,-113
331,Paul George,Reb + Ast,10.5,-136,10.5,106
332,Ivica Zubac,Reb + Ast,9.5,106,9.5,-136
333,Marcus Morris,Reb + Ast,5.5,108,5.5,-136
334,Deandre Ayton,Reb + Ast,10.5,-132,10.5,104
335,Chris Paul,Reb + Ast,12.5,-122,12.5,-104
336,Kawhi Leonard,Pts + Ast,30.5,-104,30.5,-122
337,Paul George,Pts + Ast,27.5,-115,27.5,-111
338,Marcus Morris,Pts + Ast,13.5,-115,13.5,-111
339,Ivica Zubac,Pts + Ast,10.5,-115,10.5,-111
340,Chris Paul,Pts + Ast,24.5,-113,24.5,-113
341,Deandre Ayton,Pts + Ast,16.5,100,16.5,-128
342,Kawhi Leonard,Pts + Reb,32.5,-113,32.5,-113
343,Paul George,Pts + Reb,28.5,-120,28.5,-106
344,Marcus Morris,Pts + Reb,16.5,-125,16.5,-102
345,Ivica Zubac,Pts + Reb,17.5,-120,17.5,-106
346,Chris Paul,Pts + Reb,20.5,-122,20.5,-104
347,Deandre Ayton,Pts + Reb,24.5,-115,24.5,-111
348,Kawhi Leonard,Pts + Reb + Ast,37.5,-108,37.5,-118
349,Paul George,Pts + Reb + Ast,33.5,-122,33.5,-104
350,Marcus Morris,Pts + Reb + Ast,18.5,100,18.5,-128
351,Ivica Zubac,Pts + Reb + Ast,18.5,-125,18.5,-102
352,Chris Paul,Pts + Reb + Ast,29.5,-106,29.5,-120
353,Deandre Ayton,Pts + Reb + Ast,25.5,-125,25.5,-102
354,Devin Booker,Pts + Ast,31.5,-118,31.5,-108
355,Jae Crowder,Pts + Ast,11.5,-106,11.5,-120
356,Mikal Bridges,Pts + Ast,12.5,-122,12.5,-104
357,Devin Booker,Pts + Reb,30.5,-125,30.5,-102
358,Jae Crowder,Pts + Reb,14.5,-104,14.5,-122
359,Mikal Bridges,Pts + Reb,14.5,-122,14.5,-104
360,Devin Booker,Pts + Reb + Ast,35.5,-118,35.5,-108
361,Jae Crowder,Pts + Reb + Ast,15.5,-128,15.5,100
362,Mikal Bridges,Pts + Reb + Ast,16.5,-128,16.5,100
363,Devin Booker,Reb + Ast,8.5,-113,8.5,-113
364,Jae Crowder,Reb + Ast,6.5,108,6.5,-138
365,Mikal Bridges,Reb + Ast,6.5,112,6.5,-142
366,Damian Lillard,Points,26.5,-120,26.5,-102
367,CJ McCollum,Points,22.5,-112,22.5,-108
368,Norman Powell,Points,16.5,-122,16.5,100
369,Robert Covington,Points,9.5,100,9.5,-122
370,Bojan Bogdanovic,Points,15.5,-112,15.5,-108
371,Donovan Mitchell,Points,29.5,-116,29.5,-106
372,Rudy Gobert,Points,15.5,-122,15.5,100
373,Royce O'Neale,Points,6.5,-106,6.5,-116
374,Damian Lillard,Rebounds,3.5,-134,3.5,110
375,CJ McCollum,Rebounds,3.5,-132,3.5,108
376,Norman Powell,Rebounds,3.5,122,3.5,-150
377,Robert Covington,Rebounds,6.5,-134,6.5,110
378,Rudy Gobert,Rebounds,13.5,-102,13.5,-120
379,Bojan Bogdanovic,Rebounds,3.5,-152,3.5,124
380,Donovan Mitchell,Rebounds,4.5,-115,4.5,-105
381,Royce O'Neale,Rebounds,5.5,-130,5.5,106
382,CJ McCollum,Assists,4.5,-106,4.5,-114
383,Damian Lillard,Assists,6.5,-110,6.5,-110
384,Donovan Mitchell,Assists,6.5,-105,6.5,-114
385,Damian Lillard,Made Threes,3.5,-120,3.5,-106
386,CJ McCollum,Made Threes,3.5,140,3.5,-180
387,Norman Powell,Made Threes,2.5,130,2.5,-166
388,Robert Covington,Made Threes,1.5,-210,1.5,162
389,Bojan Bogdanovic,Made Threes,1.5,-158,1.5,124
390,Donovan Mitchell,Made Threes,3.5,-142,3.5,112
391,Royce O'Neale,Made Threes,1.5,120,1.5,-154
392,Norman Powell,Reb + Ast,4.5,-113,4.5,-113
393,Damian Lillard,Reb + Ast,10.5,-115,10.5,-111
394,CJ McCollum,Reb + Ast,8.5,-106,8.5,-120
395,Bojan Bogdanovic,Reb + Ast,6.5,110,6.5,-140
396,Donovan Mitchell,Reb + Ast,11.5,-102,11.5,-125
397,Rudy Gobert,Reb + Ast,14.5,-120,14.5,-106
398,Damian Lillard,Pts + Ast,33.5,-118,33.5,-108
399,CJ McCollum,Pts + Ast,27.5,-102,27.5,-125
400,Norman Powell,Pts + Ast,18.5,-113,18.5,-113
401,Bojan Bogdanovic,Pts + Ast,17.5,-115,17.5,-108
402,Donovan Mitchell,Pts + Ast,36.5,-111,36.5,-115
403,Rudy Gobert,Pts + Ast,17.5,-111,17.5,-115
404,Damian Lillard,Pts + Reb,31.5,-104,31.5,-122
405,CJ McCollum,Pts + Reb,26.5,-111,26.5,-115
406,Norman Powell,Pts + Reb,20.5,-113,20.5,-113
407,Robert Covington,Pts + Reb,16.5,-111,16.5,-115
408,Bojan Bogdanovic,Pts + Reb,19.5,-122,19.5,-104
409,Donovan Mitchell,Pts + Reb,34.5,-115,34.5,-111
410,Damian Lillard,Pts + Reb + Ast,37.5,-122,37.5,-104
411,CJ McCollum,Pts + Reb + Ast,31.5,-102,31.5,-125
412,Norman Powell,Pts + Reb + Ast,21.5,-122,21.5,-104
413,Bojan Bogdanovic,Pts + Reb + Ast,21.5,-122,21.5,-104
414,Donovan Mitchell,Pts + Reb + Ast,41.5,-108,41.5,-118
415,Rudy Gobert,Pts + Reb + Ast,30.5,-122,30.5,-104
416,Royce O'Neale,Pts + Ast,8.5,-122,8.5,-104
417,Rudy Gobert,Pts + Reb,29.5,-113,29.5,-113
418,Royce O'Neale,Pts + Reb,12.5,-115,12.5,-111
419,Royce O'Neale,Pts + Reb + Ast,14.5,-122,14.5,-104
420,Royce O'Neale,Reb + Ast,8.5,110,8.5,-140
